NJ_phylip	ML_iqtree	BI_mrbayes	MP_phylip
NJ_phylip	0	0.112357256907139	0.112357256907139	0.230669477470964
ML_iqtree	0.112357256907139	0	0	0.174860824516902
BI_mrbayes	0.112357256907139	0	0	0.174860824516902
MP_phylip	0.230669477470964	0.174860824516902	0.174860824516902	0
